Indicator,Year,STATE,AGE,STD
Gonorrhea,2001,Massachusetts,15-19,799
Gonorrhea,2002,Massachusetts,0-14,72
Gonorrhea,2002,Massachusetts,15-19,752
Gonorrhea,2003,Massachusetts,0-14,44
Gonorrhea,2003,Massachusetts,15-19,646
Gonorrhea,2004,Massachusetts,0-14,40
Gonorrhea,2004,Massachusetts,15-19,653
Gonorrhea,2005,Massachusetts,0-14,35
Gonorrhea,2005,Massachusetts,15-19,555
Gonorrhea,2006,Massachusetts,0-14,24
Gonorrhea,2006,Massachusetts,15-19,497
Gonorrhea,2007,Massachusetts,0-14,22
Gonorrhea,2007,Massachusetts,15-19,563
Gonorrhea,2008,Massachusetts,0-14,16
Gonorrhea,2008,Massachusetts,15-19,444
Gonorrhea,2009,Massachusetts,0-14,15
Gonorrhea,2009,Massachusetts,15-19,409
Gonorrhea,2010,Massachusetts,0-14,8
Gonorrhea,2010,Massachusetts,15-19,355
Gonorrhea,2011,Massachusetts,0-14,12
Gonorrhea,2011,Massachusetts,15-19,306
Gonorrhea,2012,Massachusetts,0-14,8
Gonorrhea,2012,Massachusetts,15-19,299
Gonorrhea,2013,Massachusetts,0-14,6
Gonorrhea,2013,Massachusetts,15-19,372
Gonorrhea,2014,Massachusetts,0-14,13
Gonorrhea,2014,Massachusetts,15-19,434
Gonorrhea,2015,Massachusetts,0-14,14
Gonorrhea,2015,Massachusetts,15-19,392
Gonorrhea,2016,Massachusetts,0-14,20
Gonorrhea,2016,Massachusetts,15-19,440
Gonorrhea,2017,Massachusetts,0-14,21
Gonorrhea,2017,Massachusetts,15-19,733
Gonorrhea,2018,Massachusetts,0-14,18
Gonorrhea,2018,Massachusetts,15-19,751
Gonorrhea,2019,Massachusetts,0-14,17
Gonorrhea,2019,Massachusetts,15-19,653
Gonorrhea,2020,Massachusetts,0-14,21
Gonorrhea,2020,Massachusetts,15-19,815
Gonorrhea,2021,Massachusetts,0-14,23
Gonorrhea,2021,Massachusetts,15-19,810
Primary and Secondary Syphilis,2000,Massachusetts,0-14,0
Primary and Secondary Syphilis,2000,Massachusetts,15-19,2
Primary and Secondary Syphilis,2001,Massachusetts,0-14,0
Primary and Secondary Syphilis,2001,Massachusetts,15-19,0
Primary and Secondary Syphilis,2002,Massachusetts,0-14,0
Primary and Secondary Syphilis,2002,Massachusetts,15-19,3
Primary and Secondary Syphilis,2003,Massachusetts,0-14,0
Primary and Secondary Syphilis,2003,Massachusetts,15-19,1
Primary and Secondary Syphilis,2004,Massachusetts,0-14,0
Primary and Secondary Syphilis,2004,Massachusetts,15-19,2
Primary and Secondary Syphilis,2005,Massachusetts,0-14,0
Primary and Secondary Syphilis,2005,Massachusetts,15-19,4
Primary and Secondary Syphilis,2006,Massachusetts,0-14,0
Primary and Secondary Syphilis,2006,Massachusetts,15-19,6
Primary and Secondary Syphilis,2007,Massachusetts,0-14,1
Primary and Secondary Syphilis,2007,Massachusetts,15-19,4
Primary and Secondary Syphilis,2008,Massachusetts,0-14,0
Primary and Secondary Syphilis,2008,Massachusetts,15-19,10
Primary and Secondary Syphilis,2009,Massachusetts,0-14,0
Primary and Secondary Syphilis,2009,Massachusetts,15-19,9
Primary and Secondary Syphilis,2010,Massachusetts,0-14,0
Primary and Secondary Syphilis,2010,Massachusetts,15-19,12
Primary and Secondary Syphilis,2011,Massachusetts,0-14,0
Primary and Secondary Syphilis,2011,Massachusetts,15-19,11
Primary and Secondary Syphilis,2012,Massachusetts,0-14,0
Primary and Secondary Syphilis,2012,Massachusetts,15-19,15
Primary and Secondary Syphilis,2013,Massachusetts,0-14,0
Primary and Secondary Syphilis,2013,Massachusetts,15-19,12
Primary and Secondary Syphilis,2014,Massachusetts,0-14,1
Primary and Secondary Syphilis,2014,Massachusetts,15-19,10
Primary and Secondary Syphilis,2015,Massachusetts,0-14,0
Primary and Secondary Syphilis,2015,Massachusetts,15-19,10
Primary and Secondary Syphilis,2016,Massachusetts,0-14,0
Primary and Secondary Syphilis,2016,Massachusetts,15-19,12
Primary and Secondary Syphilis,2017,Massachusetts,0-14,0
Primary and Secondary Syphilis,2017,Massachusetts,15-19,13
Primary and Secondary Syphilis,2018,Massachusetts,0-14,0
Primary and Secondary Syphilis,2018,Massachusetts,15-19,22
Primary and Secondary Syphilis,2019,Massachusetts,0-14,1
Primary and Secondary Syphilis,2019,Massachusetts,15-19,28
Primary and Secondary Syphilis,2020,Massachusetts,0-14,0
Primary and Secondary Syphilis,2020,Massachusetts,15-19,23
Primary and Secondary Syphilis,2021,Massachusetts,0-14,0
Primary and Secondary Syphilis,2021,Massachusetts,15-19,23
Chlamydia,2000,Michigan,0-14,615
Chlamydia,2000,Michigan,15-19,"9,835"
Chlamydia,2001,Michigan,0-14,676
Chlamydia,2001,Michigan,15-19,"11,662"
Chlamydia,2002,Michigan,0-14,699
Chlamydia,2002,Michigan,15-19,"11,986"
Chlamydia,2003,Michigan,0-14,664
Chlamydia,2003,Michigan,15-19,"12,369"
Chlamydia,2004,Michigan,0-14,808
Chlamydia,2004,Michigan,15-19,"15,350"
Chlamydia,2005,Michigan,0-14,731
Chlamydia,2005,Michigan,15-19,"14,507"
Chlamydia,2006,Michigan,0-14,738
Chlamydia,2006,Michigan,15-19,"14,078"
Chlamydia,2007,Michigan,0-14,690
Chlamydia,2007,Michigan,15-19,"14,969"
Chlamydia,2008,Michigan,0-14,783
Chlamydia,2008,Michigan,15-19,"18,926"
Chlamydia,2009,Michigan,0-14,613
Chlamydia,2009,Michigan,15-19,"19,219"
Chlamydia,2010,Michigan,0-14,741
Chlamydia,2010,Michigan,15-19,"19,876"
Chlamydia,2011,Michigan,0-14,686
Chlamydia,2011,Michigan,15-19,"19,229"
Chlamydia,2012,Michigan,0-14,665
Chlamydia,2012,Michigan,15-19,"16,895"
Chlamydia,2013,Michigan,0-14,580
Chlamydia,2013,Michigan,15-19,"14,840"
Chlamydia,2014,Michigan,0-14,451
Chlamydia,2014,Michigan,15-19,"13,501"
Chlamydia,2015,Michigan,0-14,421
Chlamydia,2015,Michigan,15-19,"13,610"
Chlamydia,2016,Michigan,0-14,409
Chlamydia,2016,Michigan,15-19,"13,831"
Chlamydia,2017,Michigan,0-14,431
Chlamydia,2017,Michigan,15-19,"14,997"
Chlamydia,2018,Michigan,0-14,413
Chlamydia,2018,Michigan,15-19,"15,030"
Chlamydia,2019,Michigan,0-14,412
Chlamydia,2019,Michigan,15-19,"14,330"
Chlamydia,2020,Michigan,0-14,335
Chlamydia,2020,Michigan,15-19,"12,244"
Chlamydia,2021,Michigan,0-14,327
Chlamydia,2021,Michigan,15-19,"11,786"
"Early Non-Primary, Non-Secondary Syphilis",2000,Michigan,0-14,0
"Early Non-Primary, Non-Secondary Syphilis",2000,Michigan,15-19,0
"Early Non-Primary, Non-Secondary Syphilis",2001,Michigan,0-14,0
"Early Non-Primary, Non-Secondary Syphilis",2001,Michigan,15-19,0
"Early Non-Primary, Non-Secondary Syphilis",2002,Michigan,0-14,0
"Early Non-Primary, Non-Secondary Syphilis",2002,Michigan,15-19,0
"Early Non-Primary, Non-Secondary Syphilis",2003,Michigan,0-14,1
"Early Non-Primary, Non-Secondary Syphilis",2003,Michigan,15-19,3
"Early Non-Primary, Non-Secondary Syphilis",2004,Michigan,0-14,0
"Early Non-Primary, Non-Secondary Syphilis",2004,Michigan,15-19,11
"Early Non-Primary, Non-Secondary Syphilis",2005,Michigan,0-14,0
"Early Non-Primary, Non-Secondary Syphilis",2005,Michigan,15-19,4
"Early Non-Primary, Non-Secondary Syphilis",2006,Michigan,0-14,0
"Early Non-Primary, Non-Secondary Syphilis",2006,Michigan,15-19,4
"Early Non-Primary, Non-Secondary Syphilis",2007,Michigan,0-14,0
"Early Non-Primary, Non-Secondary Syphilis",2007,Michigan,15-19,5
"Early Non-Primary, Non-Secondary Syphilis",2008,Michigan,0-14,0
"Early Non-Primary, Non-Secondary Syphilis",2008,Michigan,15-19,12
"Early Non-Primary, Non-Secondary Syphilis",2009,Michigan,0-14,0
"Early Non-Primary, Non-Secondary Syphilis",2009,Michigan,15-19,9
"Early Non-Primary, Non-Secondary Syphilis",2010,Michigan,0-14,0
"Early Non-Primary, Non-Secondary Syphilis",2010,Michigan,15-19,11
"Early Non-Primary, Non-Secondary Syphilis",2011,Michigan,0-14,0
"Early Non-Primary, Non-Secondary Syphilis",2011,Michigan,15-19,11
"Early Non-Primary, Non-Secondary Syphilis",2012,Michigan,0-14,0
"Early Non-Primary, Non-Secondary Syphilis",2012,Michigan,15-19,7
"Early Non-Primary, Non-Secondary Syphilis",2013,Michigan,0-14,0
"Early Non-Primary, Non-Secondary Syphilis",2013,Michigan,15-19,15
"Early Non-Primary, Non-Secondary Syphilis",2014,Michigan,0-14,1
"Early Non-Primary, Non-Secondary Syphilis",2014,Michigan,15-19,14
"Early Non-Primary, Non-Secondary Syphilis",2015,Michigan,0-14,0
"Early Non-Primary, Non-Secondary Syphilis",2015,Michigan,15-19,15
"Early Non-Primary, Non-Secondary Syphilis",2016,Michigan,0-14,0
"Early Non-Primary, Non-Secondary Syphilis",2016,Michigan,15-19,16
"Early Non-Primary, Non-Secondary Syphilis",2017,Michigan,0-14,0
"Early Non-Primary, Non-Secondary Syphilis",2017,Michigan,15-19,8
"Early Non-Primary, Non-Secondary Syphilis",2018,Michigan,0-14,0
"Early Non-Primary, Non-Secondary Syphilis",2018,Michigan,15-19,16
"Early Non-Primary, Non-Secondary Syphilis",2019,Michigan,0-14,0
"Early Non-Primary, Non-Secondary Syphilis",2019,Michigan,15-19,19
"Early Non-Primary, Non-Secondary Syphilis",2020,Michigan,0-14,0
"Early Non-Primary, Non-Secondary Syphilis",2020,Michigan,15-19,19
"Early Non-Primary, Non-Secondary Syphilis",2021,Michigan,0-14,0
"Early Non-Primary, Non-Secondary Syphilis",2021,Michigan,15-19,16
Gonorrhea,2000,Michigan,0-14,308
Gonorrhea,2000,Michigan,15-19,"4,708"
Gonorrhea,2001,Michigan,0-14,325
Gonorrhea,2001,Michigan,15-19,"4,548"
Gonorrhea,2002,Michigan,0-14,249
Gonorrhea,2002,Michigan,15-19,"3,928"
Gonorrhea,2003,Michigan,0-14,283
Gonorrhea,2003,Michigan,15-19,"4,050"
Gonorrhea,2004,Michigan,0-14,278
Gonorrhea,2004,Michigan,15-19,"4,667"
Gonorrhea,2005,Michigan,0-14,278
Gonorrhea,2005,Michigan,15-19,"5,168"
Gonorrhea,2006,Michigan,0-14,242
Gonorrhea,2006,Michigan,15-19,"4,683"
Gonorrhea,2007,Michigan,0-14,243
Gonorrhea,2007,Michigan,15-19,"5,102"
Gonorrhea,2008,Michigan,0-14,236
Gonorrhea,2008,Michigan,15-19,"5,831"
Gonorrhea,2009,Michigan,0-14,164
Gonorrhea,2009,Michigan,15-19,"5,020"
Gonorrhea,2010,Michigan,0-14,164
Gonorrhea,2010,Michigan,15-19,"4,555"
Gonorrhea,2011,Michigan,0-14,160
Gonorrhea,2011,Michigan,15-19,"4,189"
Gonorrhea,2012,Michigan,0-14,174
Gonorrhea,2012,Michigan,15-19,"3,507"
Gonorrhea,2013,Michigan,0-14,105
Gonorrhea,2013,Michigan,15-19,"2,728"
Gonorrhea,2014,Michigan,0-14,112
Gonorrhea,2014,Michigan,15-19,"2,257"
Gonorrhea,2015,Michigan,0-14,84
Gonorrhea,2015,Michigan,15-19,"2,204"
Gonorrhea,2016,Michigan,0-14,108
Gonorrhea,2016,Michigan,15-19,"2,665"
Gonorrhea,2017,Michigan,0-14,113
Gonorrhea,2017,Michigan,15-19,"3,334"
Gonorrhea,2018,Michigan,0-14,112
Gonorrhea,2018,Michigan,15-19,"3,454"
Gonorrhea,2019,Michigan,0-14,96
Gonorrhea,2019,Michigan,15-19,"3,459"
Gonorrhea,2020,Michigan,0-14,111
Gonorrhea,2020,Michigan,15-19,"4,050"
Gonorrhea,2021,Michigan,0-14,121
Gonorrhea,2021,Michigan,15-19,"3,615"
Primary and Secondary Syphilis,2000,Michigan,0-14,1
Primary and Secondary Syphilis,2000,Michigan,15-19,21
Primary and Secondary Syphilis,2001,Michigan,0-14,0
Primary and Secondary Syphilis,2001,Michigan,15-19,26
Primary and Secondary Syphilis,2002,Michigan,0-14,1
Primary and Secondary Syphilis,2002,Michigan,15-19,41
Primary and Secondary Syphilis,2003,Michigan,0-14,0
Primary and Secondary Syphilis,2003,Michigan,15-19,14
Primary and Secondary Syphilis,2004,Michigan,0-14,1
Primary and Secondary Syphilis,2004,Michigan,15-19,12
Primary and Secondary Syphilis,2005,Michigan,0-14,0
Primary and Secondary Syphilis,2005,Michigan,15-19,0
Primary and Secondary Syphilis,2006,Michigan,0-14,0
Primary and Secondary Syphilis,2006,Michigan,15-19,11
Primary and Secondary Syphilis,2007,Michigan,0-14,0
Primary and Secondary Syphilis,2007,Michigan,15-19,5
Primary and Secondary Syphilis,2008,Michigan,0-14,0
Primary and Secondary Syphilis,2008,Michigan,15-19,21
Primary and Secondary Syphilis,2009,Michigan,0-14,1
Primary and Secondary Syphilis,2009,Michigan,15-19,20
Primary and Secondary Syphilis,2010,Michigan,0-14,0
Primary and Secondary Syphilis,2010,Michigan,15-19,10
Primary and Secondary Syphilis,2011,Michigan,0-14,0
Primary and Secondary Syphilis,2011,Michigan,15-19,14
Primary and Secondary Syphilis,2012,Michigan,0-14,0
Primary and Secondary Syphilis,2012,Michigan,15-19,16
Primary and Secondary Syphilis,2013,Michigan,0-14,0
Primary and Secondary Syphilis,2013,Michigan,15-19,41
Primary and Secondary Syphilis,2014,Michigan,0-14,0
Primary and Secondary Syphilis,2014,Michigan,15-19,25
Primary and Secondary Syphilis,2015,Michigan,0-14,0
Primary and Secondary Syphilis,2015,Michigan,15-19,26
Primary and Secondary Syphilis,2016,Michigan,0-14,0
Primary and Secondary Syphilis,2016,Michigan,15-19,30
Primary and Secondary Syphilis,2017,Michigan,0-14,2
Primary and Secondary Syphilis,2017,Michigan,15-19,39
Primary and Secondary Syphilis,2018,Michigan,0-14,2
Primary and Secondary Syphilis,2018,Michigan,15-19,29
Primary and Secondary Syphilis,2019,Michigan,0-14,1
Primary and Secondary Syphilis,2019,Michigan,15-19,33
Primary and Secondary Syphilis,2020,Michigan,0-14,0
Primary and Secondary Syphilis,2020,Michigan,15-19,28
Primary and Secondary Syphilis,2021,Michigan,0-14,1
Primary and Secondary Syphilis,2021,Michigan,15-19,40
Chlamydia,2000,Minnesota,0-14,152
Chlamydia,2000,Minnesota,15-19,"2,762"
Chlamydia,2001,Minnesota,0-14,128
Chlamydia,2001,Minnesota,15-19,"2,857"
Chlamydia,2002,Minnesota,0-14,152
Chlamydia,2002,Minnesota,15-19,"3,269"
Chlamydia,2003,Minnesota,0-14,170
Chlamydia,2003,Minnesota,15-19,"3,469"
Chlamydia,2004,Minnesota,0-14,122
Chlamydia,2004,Minnesota,15-19,"3,623"
Chlamydia,2005,Minnesota,0-14,132
Chlamydia,2005,Minnesota,15-19,"3,703"
Chlamydia,2006,Minnesota,0-14,129
Chlamydia,2006,Minnesota,15-19,"3,862"
Chlamydia,2007,Minnesota,0-14,141
Chlamydia,2007,Minnesota,15-19,"4,010"
Chlamydia,2008,Minnesota,0-14,152
Chlamydia,2008,Minnesota,15-19,"4,358"
Chlamydia,2009,Minnesota,0-14,146
Chlamydia,2009,Minnesota,15-19,"4,478"
Chlamydia,2010,Minnesota,0-14,115
Chlamydia,2010,Minnesota,15-19,"4,767"
Chlamydia,2011,Minnesota,0-14,162
Chlamydia,2011,Minnesota,15-19,"5,094"
Chlamydia,2012,Minnesota,0-14,198
Chlamydia,2012,Minnesota,15-19,"5,363"
Chlamydia,2013,Minnesota,0-14,146
Chlamydia,2013,Minnesota,15-19,"5,126"
Chlamydia,2014,Minnesota,0-14,141
Chlamydia,2014,Minnesota,15-19,"5,156"
Chlamydia,2015,Minnesota,0-14,151
Chlamydia,2015,Minnesota,15-19,"5,156"
Chlamydia,2016,Minnesota,0-14,165
Chlamydia,2016,Minnesota,15-19,"5,942"
Chlamydia,2017,Minnesota,0-14,150
Chlamydia,2017,Minnesota,15-19,"5,912"
Chlamydia,2018,Minnesota,0-14,111
Chlamydia,2018,Minnesota,15-19,"5,973"
Chlamydia,2019,Minnesota,0-14,146
Chlamydia,2019,Minnesota,15-19,"6,222"
Chlamydia,2020,Minnesota,0-14,159
Chlamydia,2020,Minnesota,15-19,"5,573"
Chlamydia,2021,Minnesota,0-14,169
Chlamydia,2021,Minnesota,15-19,"5,489"
"Early Non-Primary, Non-Secondary Syphilis",2000,Minnesota,0-14,0
"Early Non-Primary, Non-Secondary Syphilis",2000,Minnesota,15-19,0
"Early Non-Primary, Non-Secondary Syphilis",2001,Minnesota,0-14,0
"Early Non-Primary, Non-Secondary Syphilis",2001,Minnesota,15-19,0
"Early Non-Primary, Non-Secondary Syphilis",2002,Minnesota,0-14,0
"Early Non-Primary, Non-Secondary Syphilis",2002,Minnesota,15-19,0
"Early Non-Primary, Non-Secondary Syphilis",2003,Minnesota,0-14,0
"Early Non-Primary, Non-Secondary Syphilis",2003,Minnesota,15-19,0
"Early Non-Primary, Non-Secondary Syphilis",2004,Minnesota,0-14,0
"Early Non-Primary, Non-Secondary Syphilis",2004,Minnesota,15-19,0
"Early Non-Primary, Non-Secondary Syphilis",2005,Minnesota,0-14,0
"Early Non-Primary, Non-Secondary Syphilis",2005,Minnesota,15-19,3
"Early Non-Primary, Non-Secondary Syphilis",2006,Minnesota,0-14,0
"Early Non-Primary, Non-Secondary Syphilis",2006,Minnesota,15-19,1
"Early Non-Primary, Non-Secondary Syphilis",2007,Minnesota,0-14,0
"Early Non-Primary, Non-Secondary Syphilis",2007,Minnesota,15-19,1
"Early Non-Primary, Non-Secondary Syphilis",2008,Minnesota,0-14,0
"Early Non-Primary, Non-Secondary Syphilis",2008,Minnesota,15-19,1
"Early Non-Primary, Non-Secondary Syphilis",2009,Minnesota,0-14,0
"Early Non-Primary, Non-Secondary Syphilis",2009,Minnesota,15-19,2
"Early Non-Primary, Non-Secondary Syphilis",2010,Minnesota,0-14,0
"Early Non-Primary, Non-Secondary Syphilis",2010,Minnesota,15-19,1
"Early Non-Primary, Non-Secondary Syphilis",2011,Minnesota,0-14,0
"Early Non-Primary, Non-Secondary Syphilis",2011,Minnesota,15-19,9
"Early Non-Primary, Non-Secondary Syphilis",2012,Minnesota,0-14,0
"Early Non-Primary, Non-Secondary Syphilis",2012,Minnesota,15-19,4
"Early Non-Primary, Non-Secondary Syphilis",2013,Minnesota,0-14,0
"Early Non-Primary, Non-Secondary Syphilis",2013,Minnesota,15-19,4
"Early Non-Primary, Non-Secondary Syphilis",2014,Minnesota,0-14,1
"Early Non-Primary, Non-Secondary Syphilis",2014,Minnesota,15-19,7
"Early Non-Primary, Non-Secondary Syphilis",2015,Minnesota,0-14,1
"Early Non-Primary, Non-Secondary Syphilis",2015,Minnesota,15-19,10
"Early Non-Primary, Non-Secondary Syphilis",2016,Minnesota,0-14,0
"Early Non-Primary, Non-Secondary Syphilis",2016,Minnesota,15-19,4
"Early Non-Primary, Non-Secondary Syphilis",2017,Minnesota,0-14,0
"Early Non-Primary, Non-Secondary Syphilis",2017,Minnesota,15-19,9
"Early Non-Primary, Non-Secondary Syphilis",2018,Minnesota,0-14,0
"Early Non-Primary, Non-Secondary Syphilis",2018,Minnesota,15-19,8
"Early Non-Primary, Non-Secondary Syphilis",2019,Minnesota,0-14,0
"Early Non-Primary, Non-Secondary Syphilis",2019,Minnesota,15-19,21
"Early Non-Primary, Non-Secondary Syphilis",2020,Minnesota,0-14,0
"Early Non-Primary, Non-Secondary Syphilis",2020,Minnesota,15-19,5
"Early Non-Primary, Non-Secondary Syphilis",2021,Minnesota,0-14,1
"Early Non-Primary, Non-Secondary Syphilis",2021,Minnesota,15-19,12
Gonorrhea,2000,Minnesota,0-14,50
Gonorrhea,2000,Minnesota,15-19,874
Gonorrhea,2001,Minnesota,0-14,40
Gonorrhea,2001,Minnesota,15-19,781
Gonorrhea,2002,Minnesota,0-14,48
Gonorrhea,2002,Minnesota,15-19,758
Gonorrhea,2003,Minnesota,0-14,55
Gonorrhea,2003,Minnesota,15-19,783
Gonorrhea,2004,Minnesota,0-14,35
Gonorrhea,2004,Minnesota,15-19,740
Gonorrhea,2005,Minnesota,0-14,36
Gonorrhea,2005,Minnesota,15-19,797
Gonorrhea,2006,Minnesota,0-14,37
Gonorrhea,2006,Minnesota,15-19,809
Gonorrhea,2007,Minnesota,0-14,34
Gonorrhea,2007,Minnesota,15-19,859
Gonorrhea,2008,Minnesota,0-14,24
Gonorrhea,2008,Minnesota,15-19,800
Gonorrhea,2009,Minnesota,0-14,20
Gonorrhea,2009,Minnesota,15-19,610
Gonorrhea,2010,Minnesota,0-14,19
Gonorrhea,2010,Minnesota,15-19,614
Gonorrhea,2011,Minnesota,0-14,21
Gonorrhea,2011,Minnesota,15-19,585
Gonorrhea,2012,Minnesota,0-14,36
Gonorrhea,2012,Minnesota,15-19,784
Gonorrhea,2013,Minnesota,0-14,40
Gonorrhea,2013,Minnesota,15-19,983
Gonorrhea,2014,Minnesota,0-14,26
Gonorrhea,2014,Minnesota,15-19,801
Gonorrhea,2015,Minnesota,0-14,23
Gonorrhea,2015,Minnesota,15-19,640
Gonorrhea,2016,Minnesota,0-14,31
Gonorrhea,2016,Minnesota,15-19,897
Gonorrhea,2017,Minnesota,0-14,32
Gonorrhea,2017,Minnesota,15-19,"1,166"
Gonorrhea,2018,Minnesota,0-14,31
Gonorrhea,2018,Minnesota,15-19,"1,248"
Gonorrhea,2019,Minnesota,0-14,41
Gonorrhea,2019,Minnesota,15-19,"1,182"
Gonorrhea,2020,Minnesota,0-14,52
Gonorrhea,2020,Minnesota,15-19,"1,678"
Gonorrhea,2021,Minnesota,0-14,64
Gonorrhea,2021,Minnesota,15-19,"1,327"
Primary and Secondary Syphilis,2000,Minnesota,0-14,0
Primary and Secondary Syphilis,2000,Minnesota,15-19,2
Primary and Secondary Syphilis,2001,Minnesota,0-14,0
Primary and Secondary Syphilis,2001,Minnesota,15-19,2
Primary and Secondary Syphilis,2002,Minnesota,0-14,0
Primary and Secondary Syphilis,2002,Minnesota,15-19,0
Primary and Secondary Syphilis,2003,Minnesota,0-14,0
Primary and Secondary Syphilis,2003,Minnesota,15-19,2
Primary and Secondary Syphilis,2004,Minnesota,0-14,0
Primary and Secondary Syphilis,2004,Minnesota,15-19,1
Primary and Secondary Syphilis,2005,Minnesota,0-14,0
Primary and Secondary Syphilis,2005,Minnesota,15-19,1
Primary and Secondary Syphilis,2006,Minnesota,0-14,0
Primary and Secondary Syphilis,2006,Minnesota,15-19,2
Primary and Secondary Syphilis,2007,Minnesota,0-14,0
Primary and Secondary Syphilis,2007,Minnesota,15-19,2
Primary and Secondary Syphilis,2008,Minnesota,0-14,0
Primary and Secondary Syphilis,2008,Minnesota,15-19,3
Primary and Secondary Syphilis,2009,Minnesota,0-14,0
Primary and Secondary Syphilis,2009,Minnesota,15-19,2
Primary and Secondary Syphilis,2010,Minnesota,0-14,0
Primary and Secondary Syphilis,2010,Minnesota,15-19,6
Primary and Secondary Syphilis,2011,Minnesota,0-14,0
Primary and Secondary Syphilis,2011,Minnesota,15-19,3
Primary and Secondary Syphilis,2012,Minnesota,0-14,0
Primary and Secondary Syphilis,2012,Minnesota,15-19,4
Primary and Secondary Syphilis,2013,Minnesota,0-14,0
Primary and Secondary Syphilis,2013,Minnesota,15-19,2
Primary and Secondary Syphilis,2014,Minnesota,0-14,0
Primary and Secondary Syphilis,2014,Minnesota,15-19,10
Primary and Secondary Syphilis,2015,Minnesota,0-14,1
Primary and Secondary Syphilis,2015,Minnesota,15-19,10
Primary and Secondary Syphilis,2016,Minnesota,0-14,1
Primary and Secondary Syphilis,2016,Minnesota,15-19,14
Primary and Secondary Syphilis,2017,Minnesota,0-14,0
Primary and Secondary Syphilis,2017,Minnesota,15-19,9
Primary and Secondary Syphilis,2018,Minnesota,0-14,0
Primary and Secondary Syphilis,2018,Minnesota,15-19,15
Primary and Secondary Syphilis,2019,Minnesota,0-14,0
Primary and Secondary Syphilis,2019,Minnesota,15-19,14
Primary and Secondary Syphilis,2020,Minnesota,0-14,1
Primary and Secondary Syphilis,2020,Minnesota,15-19,13
Primary and Secondary Syphilis,2021,Minnesota,0-14,1
Primary and Secondary Syphilis,2021,Minnesota,15-19,18
Chlamydia,2000,Mississippi,0-14,355
Chlamydia,2000,Mississippi,15-19,"4,889"
Chlamydia,2001,Mississippi,0-14,313
Chlamydia,2001,Mississippi,15-19,"4,479"
Chlamydia,2002,Mississippi,0-14,343
Chlamydia,2002,Mississippi,15-19,"4,693"
Chlamydia,2003,Mississippi,0-14,316
Chlamydia,2003,Mississippi,15-19,"4,653"
Chlamydia,2004,Mississippi,0-14,418
Chlamydia,2004,Mississippi,15-19,"6,836"
Chlamydia,2005,Mississippi,0-14,458
Chlamydia,2005,Mississippi,15-19,"7,681"
Chlamydia,2006,Mississippi,0-14,387
Chlamydia,2006,Mississippi,15-19,"7,354"
Chlamydia,2007,Mississippi,0-14,447
Chlamydia,2007,Mississippi,15-19,"8,443"
Chlamydia,2008,Mississippi,0-14,436
Chlamydia,2008,Mississippi,15-19,"8,531"
Chlamydia,2009,Mississippi,0-14,463
Chlamydia,2009,Mississippi,15-19,"9,509"
Chlamydia,2010,Mississippi,0-14,405
Chlamydia,2010,Mississippi,15-19,"8,523"
Chlamydia,2011,Mississippi,0-14,367
Chlamydia,2011,Mississippi,15-19,"8,085"
Chlamydia,2012,Mississippi,0-14,353
Chlamydia,2012,Mississippi,15-19,"8,386"
Chlamydia,2013,Mississippi,0-14,233
Chlamydia,2013,Mississippi,15-19,"5,642"
Chlamydia,2014,Mississippi,0-14,302
Chlamydia,2014,Mississippi,15-19,"6,691"
Chlamydia,2015,Mississippi,0-14,224
Chlamydia,2015,Mississippi,15-19,"5,781"
Chlamydia,2016,Mississippi,0-14,261
Chlamydia,2016,Mississippi,15-19,"6,643"
Chlamydia,2017,Mississippi,0-14,264
Chlamydia,2017,Mississippi,15-19,"7,020"
Chlamydia,2018,Mississippi,0-14,242
Chlamydia,2018,Mississippi,15-19,"7,186"
Chlamydia,2019,Mississippi,0-14,297
Chlamydia,2019,Mississippi,15-19,"8,012"
Chlamydia,2020,Mississippi,0-14,327
Chlamydia,2020,Mississippi,15-19,"7,312"
Chlamydia,2021,Mississippi,0-14,301
Chlamydia,2021,Mississippi,15-19,"6,984"
"Early Non-Primary, Non-Secondary Syphilis",2000,Mississippi,0-14,0
"Early Non-Primary, Non-Secondary Syphilis",2000,Mississippi,15-19,0
"Early Non-Primary, Non-Secondary Syphilis",2001,Mississippi,0-14,0
"Early Non-Primary, Non-Secondary Syphilis",2001,Mississippi,15-19,0
"Early Non-Primary, Non-Secondary Syphilis",2002,Mississippi,0-14,0
"Early Non-Primary, Non-Secondary Syphilis",2002,Mississippi,15-19,0
"Early Non-Primary, Non-Secondary Syphilis",2003,Mississippi,0-14,3
"Early Non-Primary, Non-Secondary Syphilis",2003,Mississippi,15-19,12
"Early Non-Primary, Non-Secondary Syphilis",2004,Mississippi,0-14,0
"Early Non-Primary, Non-Secondary Syphilis",2004,Mississippi,15-19,7
"Early Non-Primary, Non-Secondary Syphilis",2005,Mississippi,0-14,1
"Early Non-Primary, Non-Secondary Syphilis",2005,Mississippi,15-19,6
"Early Non-Primary, Non-Secondary Syphilis",2006,Mississippi,0-14,1
"Early Non-Primary, Non-Secondary Syphilis",2006,Mississippi,15-19,15
"Early Non-Primary, Non-Secondary Syphilis",2007,Mississippi,0-14,1
"Early Non-Primary, Non-Secondary Syphilis",2007,Mississippi,15-19,24
"Early Non-Primary, Non-Secondary Syphilis",2008,Mississippi,0-14,2
